work_id,composer,title,year,source,source_url,license,movement_index,parent_work_id,instrumentation_hint,era
bachjs-bwv878-f9-f9,BachJS,"Das Wohltemperierte Clavier II, Fuga IX",,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV878/f9/f9.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv878,"Harpsichord, Piano",baroque
bachjs-bwv878-spiritus-domini-bach-spiritus-domini-bach,BachJS,Spiritus Domini,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV878/spiritus_domini_bach/spiritus_domini_bach.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv878,Voice (SATB),baroque
beethovenlv-o111-lvb-sonate-111-1-lys-lvb-sonate-111-1,BeethovenLv,Sonata No. 32 (1st Movement),1822,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O111/lvb_sonate_111_1/lvb_sonate_111_1-lys/lvb_sonate_111_1.ly,Public Domain,,beethovenlv-o111,Piano,classical
beethovenlv-o13-pathetique-2-pathetique-2,BeethovenLv,Sonata No. 8 “Pathétique” (2nd Movement: Adagio cantabile),,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O13/pathetique-2/pathetique-2.ly,Public Domain,,beethovenlv-o13,Piano,classical
beethovenlv-o13-pathetique-2-guitar-duo-pathetique-2-guitar-duo,BeethovenLv,Sonata No. 8 “Pathétique” (2nd Movement: Adagio cantabile),1798,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O13/pathetique-2-guitar-duo/pathetique-2-guitar-duo.ly,Public Domain,,beethovenlv-o13,2 Guitars,classical
beethovenlv-o13-pathetique-3-pathetique-3,BeethovenLv,Sonata No. 8 “Pathétique” (3rd Movement: Rondo),,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O13/pathetique-3/pathetique-3.ly,Public Domain,,beethovenlv-o13,Piano,classical
beethovenlv-o137-fuge-opus137-lys-fuge-opus137,BeethovenLv,Fuge - Opus 137,1817,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O137/Fuge_Opus137/Fuge_Opus137-lys/Fuge_Opus137.ly,Public Domain,,beethovenlv-o137,"String Quintet: Violins, Violas, 'Cello",classical
beethovenlv-o27-moonlight-lys-moonlight1-a4,BeethovenLv,Sonata No. 14 “Moonlight” (1st Movement: Adagio sostenuto),1802,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O27/moonlight/moonlight-lys/moonlight1-a4.ly,Public Domain,,beethovenlv-o27,Piano,classical
beethovenlv-o27-moonlight-lys-moonlight1-let,BeethovenLv,Sonata No. 14 “Moonlight” (1st Movement: Adagio sostenuto),1802,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O27/moonlight/moonlight-lys/moonlight1-let.ly,Public Domain,,beethovenlv-o27,Piano,classical
beethovenlv-o27-moonlight-lys-moonlight2-a4,BeethovenLv,Sonata No. 14 “Moonlight” (2nd Movement: Allegretto),1802,mutopia,https://www.mutopiaproject.org/ftp/BeethovenLv/O27/moonlight/moonlight-lys/moonlight2-a4.ly,,,beethovenlv-o27,Piano,
